date,x,y
12/04/2015 10:05:00,1449223500000,2.62
12/04/2015 10:10:00,1449223800000,3.1
12/04/2015 10:15:00,1449224100000,2.45
12/04/2015 10:20:00,1449224400000,2.43
12/04/2015 10:25:00,1449224700000,2.46
12/04/2015 10:30:00,1449225000000,2.8
12/04/2015 10:35:00,1449225300000,3.17
12/04/2015 10:40:00,1449225600000,2.61
12/04/2015 10:45:00,1449225900000,2.53
12/04/2015 10:50:00,1449226200000,2.45
12/04/2015 10:55:00,1449226500000,2.48
12/04/2015 11:00:00,1449226800000,2.67
12/04/2015 11:05:00,1449227100000,2.95
12/04/2015 11:10:00,1449227400000,2.62
12/04/2015 11:15:00,1449227700000,2.46
12/04/2015 11:20:00,1449228000000,2.57
12/04/2015 11:25:00,1449228300000,2.44
12/04/2015 11:30:00,1449228600000,2.48
12/04/2015 11:35:00,1449228900000,3.01
12/04/2015 11:40:00,1449229200000,2.58
12/04/2015 11:45:00,1449229500000,2.45
12/04/2015 11:50:00,1449229800000,2.45
12/04/2015 11:55:00,1449230100000,2.44
12/04/2015 12:00:00,1449230400000,2.62
12/04/2015 12:05:00,1449230700000,2.43
12/04/2015 12:10:00,1449231000000,2.84
12/04/2015 12:15:00,1449231300000,2.52
12/04/2015 12:20:00,1449231600000,2.49
12/04/2015 12:25:00,1449231900000,2.8
12/04/2015 12:30:00,1449232200000,3.1
12/04/2015 12:35:00,1449232500000,2.52
12/04/2015 12:40:00,1449232800000,2.48
12/04/2015 12:45:00,1449233100000,2.51
12/04/2015 12:50:00,1449233400000,2.59
12/04/2015 12:55:00,1449233700000,2.46
12/04/2015 13:00:00,1449234000000,2.91
12/04/2015 13:05:00,1449234300000,3.18
12/04/2015 13:10:00,1449234600000,3.32
12/04/2015 13:15:00,1449234900000,3.13
12/04/2015 13:20:00,1449235200000,3.49
12/04/2015 13:25:00,1449235500000,3.91
12/04/2015 13:30:00,1449235800000,2.91
12/04/2015 13:35:00,1449236100000,2.56
12/04/2015 13:40:00,1449236400000,2.74
12/04/2015 13:45:00,1449236700000,2.59
12/04/2015 13:50:00,1449237000000,2.5
12/04/2015 13:55:00,1449237300000,2.43
12/04/2015 14:00:00,1449237600000,2.49
12/04/2015 14:05:00,1449237900000,3.18
12/04/2015 14:10:00,1449238200000,2.81
12/04/2015 14:15:00,1449238500000,2.53
12/04/2015 14:20:00,1449238800000,2.46
12/04/2015 14:25:00,1449239100000,2.65
12/04/2015 14:30:00,1449239400000,3.04
12/04/2015 14:35:00,1449239700000,2.45
12/04/2015 14:40:00,1449240000000,2.49
12/04/2015 14:45:00,1449240300000,2.63
12/04/2015 14:50:00,1449240600000,2.75
12/04/2015 14:55:00,1449240900000,2.45
12/04/2015 15:00:00,1449241200000,2.6
12/04/2015 15:05:00,1449241500000,2.43
12/04/2015 15:10:00,1449241800000,3.18
12/04/2015 15:15:00,1449242100000,2.47
12/04/2015 15:20:00,1449242400000,2.44
12/04/2015 15:25:00,1449242700000,2.47
12/04/2015 15:30:00,1449243000000,2.44
