date,x,y
12/04/15 10:35 AM,1449225300,3.17
12/04/15 10:40 AM,1449225600,2.61
12/04/15 10:45 AM,1449225900,2.53
12/04/15 10:50 AM,1449226200,2.45
12/04/15 10:55 AM,1449226500,2.48
12/04/15 11:00 AM,1449226800,2.67
12/04/15 11:05 AM,1449227100,2.95
12/04/15 11:10 AM,1449227400,2.62
12/04/15 11:15 AM,1449227700,2.46
12/04/15 11:20 AM,1449228000,2.57
12/04/15 11:25 AM,1449228300,2.44
12/04/15 11:30 AM,1449228600,2.48
12/04/15 11:35 AM,1449228900,3.01
12/04/15 11:40 AM,1449229200,2.58
12/04/15 11:45 AM,1449229500,2.45
12/04/15 11:50 AM,1449229800,2.45
12/04/15 11:55 AM,1449230100,2.44
12/04/15 12:00 PM,1449230400,2.62
12/04/15 12:05 PM,1449230700,2.43
12/04/15 12:10 PM,1449231000,2.84
12/04/15 12:15 PM,1449231300,2.52
12/04/15 12:20 PM,1449231600,2.49
12/04/15 12:25 PM,1449231900,2.8
12/04/15 12:30 PM,1449232200,3.1
12/04/15 12:35 PM,1449232500,2.52
12/04/15 12:40 PM,1449232800,2.48
12/04/15 12:45 PM,1449233100,2.51
12/04/15 12:50 PM,1449233400,2.59
12/04/15 12:55 PM,1449233700,2.46
12/04/15 01:00 PM,1449234000,2.91
12/04/15 01:05 PM,1449234300,3.18
12/04/15 01:10 PM,1449234600,3.32
12/04/15 01:15 PM,1449234900,3.13
12/04/15 01:20 PM,1449235200,3.49
12/04/15 01:25 PM,1449235500,3.91
12/04/15 01:30 PM,1449235800,2.91
12/04/15 01:35 PM,1449236100,2.56
12/04/15 01:40 PM,1449236400,2.74
12/04/15 01:45 PM,1449236700,2.59
12/04/15 01:50 PM,1449237000,2.5
12/04/15 01:55 PM,1449237300,2.43
12/04/15 02:00 PM,1449237600,2.49
12/04/15 02:05 PM,1449237900,3.18
12/04/15 02:10 PM,1449238200,2.81
12/04/15 02:15 PM,1449238500,2.53
12/04/15 02:20 PM,1449238800,2.46
12/04/15 02:25 PM,1449239100,2.65
12/04/15 02:30 PM,1449239400,3.04
12/04/15 02:35 PM,1449239700,2.45
12/04/15 02:40 PM,1449240000,2.49
12/04/15 02:45 PM,1449240300,2.63
12/04/15 02:50 PM,1449240600,2.75
12/04/15 02:55 PM,1449240900,2.45
12/04/15 03:00 PM,1449241200,2.6
12/04/15 03:05 PM,1449241500,2.43
12/04/15 03:10 PM,1449241800,3.18
12/04/15 03:15 PM,1449242100,2.47
12/04/15 03:20 PM,1449242400,2.44
12/04/15 03:25 PM,1449242700,2.47
12/04/15 03:30 PM,1449243000,2.44
12/04/15 03:35 PM,1449243300,2.32
12/04/15 03:40 PM,1449243600,2.33
12/04/15 03:45 PM,1449243900,2.58
12/04/15 03:50 PM,1449244200,2.42
12/04/15 03:55 PM,1449244500,2.45
12/04/15 04:00 PM,1449244800,2.63
12/04/15 04:05 PM,1449245100,2.43
12/04/15 04:10 PM,1449245400,3.18
12/04/15 04:15 PM,1449245700,2.8
12/04/15 04:20 PM,1449246000,2.73
12/04/15 04:25 PM,1449246300,2.98
12/04/15 04:30 PM,1449246600,3.24
12/04/15 04:35 PM,1449246900,3.76
12/04/15 04:40 PM,1449247200,3.38
12/04/15 04:45 PM,1449247500,3.3
12/04/15 04:50 PM,1449247800,2.49
12/04/15 04:55 PM,1449248100,2.72
12/04/15 05:00 PM,1449248400,2.46
12/04/15 05:05 PM,1449248700,2.42
12/04/15 05:10 PM,1449249000,2.88
12/04/15 05:15 PM,1449249300,2.5
12/04/15 05:20 PM,1449249600,2.41
12/04/15 05:25 PM,1449249900,2.49
12/04/15 05:30 PM,1449250200,2.68
12/04/15 05:35 PM,1449250500,2.46
12/04/15 05:40 PM,1449250800,2.63
12/04/15 05:45 PM,1449251100,2.47
12/04/15 05:50 PM,1449251400,2.56
12/04/15 05:55 PM,1449251700,2.44
12/04/15 06:00 PM,1449252000,2.57
12/04/15 06:05 PM,1449252300,2.42
12/04/15 06:10 PM,1449252600,2.73
12/04/15 06:15 PM,1449252900,2.46
12/04/15 06:20 PM,1449253200,2.58
12/04/15 06:25 PM,1449253500,2.94
12/04/15 06:30 PM,1449253800,3.25
12/04/15 06:35 PM,1449254100,2.55
12/04/15 06:40 PM,1449254400,2.46
12/04/15 06:45 PM,1449254700,2.5
12/04/15 06:50 PM,1449255000,3.05
12/04/15 06:55 PM,1449255300,2.63
12/04/15 07:00 PM,1449255600,3
12/04/15 07:05 PM,1449255900,2.38
12/04/15 07:10 PM,1449256200,2.6
12/04/15 07:15 PM,1449256500,2.46
12/04/15 07:20 PM,1449256800,2.63
12/04/15 07:25 PM,1449257100,2.47
12/04/15 07:30 PM,1449257400,2.49
12/04/15 07:35 PM,1449257700,2.44
12/04/15 07:40 PM,1449258000,2.46
12/04/15 07:45 PM,1449258300,2.48
12/04/15 07:50 PM,1449258600,2.62
12/04/15 07:55 PM,1449258900,2.5
12/04/15 08:00 PM,1449259200,2.67
12/04/15 08:05 PM,1449259500,2.58
12/04/15 08:10 PM,1449259800,2.91
12/04/15 08:15 PM,1449260100,2.87
12/04/15 08:20 PM,1449260400,2.7
12/04/15 08:25 PM,1449260700,2.43
12/04/15 08:30 PM,1449261000,2.52
12/04/15 08:35 PM,1449261300,2.54
12/04/15 08:40 PM,1449261600,2.45
12/04/15 08:45 PM,1449261900,2.48
12/04/15 08:50 PM,1449262200,2.58
12/04/15 08:55 PM,1449262500,2.53
12/04/15 09:00 PM,1449262800,2.64
12/04/15 09:05 PM,1449263100,2.43
12/04/15 09:10 PM,1449263400,2.61
12/04/15 09:15 PM,1449263700,2.48
12/04/15 09:20 PM,1449264000,2.57
12/04/15 09:25 PM,1449264300,3.03
12/04/15 09:30 PM,1449264600,2.99
12/04/15 09:35 PM,1449264900,2.5
12/04/15 09:40 PM,1449265200,2.65
12/04/15 09:45 PM,1449265500,2.83
12/04/15 09:50 PM,1449265800,2.85
12/04/15 09:55 PM,1449266100,2.87
12/04/15 10:00 PM,1449266400,3.31
12/04/15 10:05 PM,1449266700,2.81
12/04/15 10:10 PM,1449267000,3.32
12/04/15 10:15 PM,1449267300,2.52
12/04/15 10:20 PM,1449267600,2.57
12/04/15 10:25 PM,1449267900,2.38
12/04/15 10:30 PM,1449268200,2.74
12/04/15 10:35 PM,1449268500,2.45
12/04/15 10:40 PM,1449268800,2.49
12/04/15 10:45 PM,1449269100,2.5
12/04/15 10:50 PM,1449269400,2.61
12/04/15 10:55 PM,1449269700,2.44
12/04/15 11:00 PM,1449270000,2.48
12/04/15 11:05 PM,1449270300,2.42
